"latitude","longitude","altitude","geometry","coordinates","name","description","_umap_options","code","nom"
"48.764616","0.62488",,"Point",,"L'AIGLE","<b>17 heures 30</b> Place de la Poste","DarkTurquoise",1,
"48.18324","0.64885",,"Point",,"LA FERTÉ-BERNARD","<b>10 heures</b> COSEC",,,
"47.69938","-0.07525",,"Point",,"LA FLÈCHE","<b>10 heures </b> Place Henri IV",,1,
"46.948006","2.948563",,"Point",,"LA GUERCHE-SUR-L'AUBOIS","<b>10 heures 30</b> Place du Général de Gaulle","CornflowerBlue",1,
"46.682333","-1.433694",,"Point",,"LA ROCHE-SUR-YON","<b>14 heures</b> Boulevard Sully",,1,
"45.74012","0.38933",,"Point",,"LA ROCHEFOUCAULD","<b>10 heures</b> Parvis de la Gare SNCF","DarkTurquoise",,
"46.152977","-1.145926",,"Point",,"LA ROCHELLE","<b>12 heures</b> Parvis de la Gare SNCF","DarkTurquoise",1,
"45.5669","5.448",,"Point",,"LA TOUR DU PIN","<b>17 heures 30</b> Place Carnot",,,
"43.54555","1.51322",,"Point",,"LABÈGE","<b>15 heures</b> URSSAF Rue Pierre et Marie Curie","CornflowerBlue",,
"44.98577","4.57962",,"Point",,"LAMASTRE","<b>18 heures 30</b> Gradins Place des Frères Montgolfier",,1,
"48.476975","-2.500741",,"Point",,"LAMBALLE","<b>10 heures 30</b> Quai des Rêves","CornflowerBlue",1,
"44.555773","-0.24222",,"Point",,"LANGON","<b>10 heures 30</b> ","DarkTurquoise",,
"47.858476","5.331652",,"Point",,"LANGRES","<b>17 heures</b> Place Bel Air","CornflowerBlue",1,
"48.73196","-3.46194",,"Point",,"LANNION","<b>11 heures 30</b> Quai d’Aguillon","CornflowerBlue",1,
"49.547873","3.601179",,"Point",,"LAON","<b>16 heures</b> Carrefour de l’Europe",,1,
"48.068777","-0.772359",,"Point",,"LAVAL","<b>15 heures</b> Place de la Trémoille",,1,
"46.63213","1.061304",,"Point",,"LE BLANC","<b>16 heures 30</b> Place du Général de Gaulle","CornflowerBlue",1,
"45.05227","6.0304",,"Point",,"LE BOURG-D’OISANS","<b>10 heures</b> Mairie – Théâtre de verdure",,,
"44.906089","4.423319",,"Point",,"LE CHEYLARD","<b>14 heures</b> Mairie",,1,
"46.806463","4.429969",,"Point",,"LE CREUSOT","<b>14 heures 30</b> Avenue François Mitterrand Devant l'Alto","DarkTurquoise",1,
"49.497769","0.127437",,"Point",,"LE HAVRE","<b>10 heures</b> Cercle Franklin","DarkTurquoise",1,
"14.615849","-61.002477",,"Point",,"LE LAMENTIN","<b>8 heures 30</b> Place Émile Berlan (Église)",,,
"47.97948","0.174",,"Point",,"LE MANS","<b>13 heures 30</b> La Patte d'Oie d'Allonnes – Yoplait",,1,
"45.043287","3.888431",,"Point",,"LE PUY-EN-VELAY","<b>10 heures 30</b> Place Cadelade",,1,
"50.05791","1.38596",,"Point",,"LE TRÉPORT","<b>15 heures</b> Esplanade Salle Serge Reggiani",,,
"43.99263","3.60629",,"Point",,"LE VIGAN","<b>18 heures</b> Hôtel de ville","CornflowerBlue",1,
"46.497462","-1.783175",,"Point",,"LES SABLES-D’OLONNE","<b>14 heures 30</b> Place de la Liberté",,1,
"44.91556","-0.247836",,"Point",,"LIBOURNE","<b>14 heures</b>
Qaui Soucher","DarkTurquoise",,
"50.629653","3.068833",,"Point",,"LILLE","<b>14 heures 30</b> Place Simon Vollant Porte de Paris",,1,
"49.521434","0.532719",,"Point",,"LILLEBONNE","<b>14 heures 30</b> Mairie","DarkTurquoise",1,
"45.831737","1.262457",,"Point",,"LIMOGES","<b>14 heures</b> Carrefour Tourny","DarkTurquoise",1,
"49.146138","0.225409",,"Point",,"LISIEUX","<b>10 heures</b> Place François Mitterrand","DarkTurquoise",1,
"47.12943","0.99859",,"Point",,"LOCHES","<b>18 heures</b> Place du Marché aux Fleurs","CornflowerBlue",,
"43.733127","3.319483",,"Point",,"LODÈVE","<b>11 heures</b> Sous-Préfecture","CornflowerBlue",1,
"49.523976","5.763155",,"Point",,"LONGWY","<b>14 heures</b> Place Darche","CornflowerBlue",,
"46.674085","5.552194",,"Point",,"LONS-LE-SAUNIER","<b>10 heures 30</b> Place de la Liberté","DarkTurquoise",,
"47.735564","-3.37423",,"Point",,"LORIENT","<b>10 heures</b> Rond point de la Base Sous-Marine","CornflowerBlue",1,
"47.01022","0.08184",,"Point",,"LOUDUN","<b>10 heures</b> Mairie","DarkTurquoise",,
"46.626243","5.22217",,"Point",,"LOUHANS","<b>9 heures 30</b> Place de la Charité","DarkTurquoise",1,
"43.67526","4.13213",,"Point",,"LUNEL","<b>11 heures 30</b> Place de la République","CornflowerBlue",,
"45.767074","4.859476",,"Point",,"LYON","<b>13 heures</b> Manufacture des Tabacs",,1,
"46.303515","4.830025",,"Point",,"MÂCON","<b>14 heures 30</b> Maison des Syndicats","DarkTurquoise",1,
"-12.776951","45.232424",,"Point",,"MAMOUDZOU","<b>8 heures</b> Place de la République",,,
"43.829477","5.787271",,"Point",,"MANOSQUE","<b>14 heures</b> Gare routière","DarkTurquoise",,
"44.497726","0.168496",,"Point",,"MARMANDE","<b>14 heures</b> Esplanade de Maré","DarkTurquoise",1,
"43.293677","5.374197",,"Point",,"MARSEILLE","<b>10 heures 30</b> Vieux Port -Cours Jean Ballard","DarkTurquoise",1,
"43.417455","5.036566",,"Point",,"MARTIGUES","<b>10 heures </b> Lycée Jean Lurçat","DarkTurquoise",1,
