"latitude","longitude","altitude","geometry","coordinates","name","dept","hour","description","_umap_options","code","nom"
"50.046522","1.423461",,"Point",,"EU","76","15 heures","Place du Champ de Mars","DarkTurquoise",1,
"49.023239","1.136377",,"Point",,"ÉVREUX","27","14 heures"," Rond-point Cora","DarkTurquoise",1,
"48.88965","-0.19544",,"Point",,"FALAISE","14","17 heures","Place Edward Holman","DarkTurquoise",1,
"49.757905","0.385026",,"Point",,"FÉCAMP","76","14 heures 30","Espace Henri Dunant","DarkTurquoise",1,
"44.609328","2.028126",,"Point",,"FIGEAC","46","11 heures","Lycée Jean-François Champollion","CornflowerBlue",1,
"48.750254","-0.566418",,"Point",,"FLERS","61","17 heures","Place du Général de Gaulle","DarkTurquoise",1,
"42.963823","1.606933",,"Point",,"FOIX","09","14 heures","Haut de Villote","CornflowerBlue",1,
"46.467143","-0.809019",,"Point",,"FONTENAY-LE-COMTE","85","10 heures","Place de Verdun","Default",1,
"48.350359","-1.194607",,"Point",,"FOUGÈRES","35","17 heures 30","Esplanade des Chaussonnières","CornflowerBlue",1,
"50.01555","4.04043",,"Point",,"FOURMIES","59","9 heures 30","Place Georges Coppeaux","Default",,
"50.07478","1.54186",,"Point",,"FRIVILLE-ESCARBOTIN","80","15 heures","Parking Netto Château d’eau","Default",1,
"43.93568","3.70887",,"Point",,"GANGES","34","10 heures","Mairie","CornflowerBlue",1,
"44.557858","6.076376",,"Point",,"GAP","05","14 heures","Préfecture","DarkTurquoise",1,
"47.684513","2.629911",,"Point",,"GIEN","45","10 heures","Place Jean Jaurès","CornflowerBlue",1,
"49.27876","1.77761",,"Point",,"GISORS","27","10 heures","Place de la Mairie","DarkTurquoise",1,
"48.837704","-1.597213",,"Point",,"GRANVILLE","50","10 heures 30","Hôtel de Ville","DarkTurquoise",1,
"45.18614","5.71841",,"Point",,"GRENOBLE","38","10 heures","Cours Jean Jaurès","Default",1,
"46.173783","1.879054",,"Point",,"GUÉRET","23","10 heures","Gare SNCF Gare routière","DarkTurquoise",1,
"46.60214","4.06206",,"Point",,"GUEUGNON","71","14 heures","Place des Forges","DarkTurquoise",,
"48.55593","-3.14329",,"Point",,"GUINGAMP","22","10 heures 30","Gare SNCF","CornflowerBlue",1,
"48.81225","7.78372",,"Point",,"HAGUENAU","67","14 heures","Parc de la Gare","CornflowerBlue",,
"49.917117","4.082569",,"Point",,"HIRSON","02","14 heures","Rue de Dinant (CGT)","Default",1,
"47.639133","-3.453438",,"Point",,"ÎLE DE GROIX","56","11 heures","Place du 19 Mars 1962","CornflowerBlue",1,
"45.54429","3.246452",,"Point",,"ISSOIRE","63","17 heures","Parvis de la Halle aux grains","Default",,
"46.948343","1.991138",,"Point",,"ISSOUDUN","36","15 heures","Place du 10 juin 1944","CornflowerBlue",1,
"5.157988","-52.642912",,"Point",,"KOUROU","973","9 heures","Mairie","Default",,
"48.764616","0.62488",,"Point",,"L'AIGLE","61","17 heures 30","Place de la Poste","DarkTurquoise",1,
"48.18324","0.64885",,"Point",,"LA FERTÉ-BERNARD","72","10 heures","COSEC","Default",,
"47.69938","-0.07525",,"Point",,"LA FLÈCHE","72","10 heures","Place Henri IV","Default",1,
"46.948006","2.948563",,"Point",,"LA GUERCHE-SUR-L'AUBOIS","18","10 heures 30","Place du Général de Gaulle","CornflowerBlue",1,
"46.682333","-1.433694",,"Point",,"LA ROCHE-SUR-YON","85","14 heures","Boulevard Sully","Default",1,
"45.74012","0.38933",,"Point",,"LA ROCHEFOUCAULD","16","10 heures","Parvis de la Gare SNCF","DarkTurquoise",,
"46.152977","-1.145926",,"Point",,"LA ROCHELLE","17","12 heures","Parvis de la Gare SNCF","DarkTurquoise",1,
"45.5669","5.448",,"Point",,"LA TOUR DU PIN","38","17 heures 30","Place Carnot","Default",,
"43.54555","1.51322",,"Point",,"LABÈGE","31","15 heures","URSSAF Rue Pierre et Marie Curie","CornflowerBlue",,
"44.98577","4.57962",,"Point",,"LAMASTRE","07","18 heures 30","Gradins Place des Frères Montgolfier","Default",1,
"48.476975","-2.500741",,"Point",,"LAMBALLE","22","10 heures 30","Quai des Rêves","CornflowerBlue",1,
"44.555773","-0.24222",,"Point",,"LANGON","33","10 heures 30",,"DarkTurquoise",,
"47.858476","5.331652",,"Point",,"LANGRES","52","17 heures","Place Bel Air","CornflowerBlue",1,
"48.73196","-3.46194",,"Point",,"LANNION","22","11 heures 30","Quai d’Aguillon","CornflowerBlue",1,
"49.547873","3.601179",,"Point",,"LAON","02","16 heures","Carrefour de l’Europe","Default",1,
"48.068777","-0.772359",,"Point",,"LAVAL","53","15 heures","Place de la Trémoille","Default",1,
"46.63213","1.061304",,"Point",,"LE BLANC","36","16 heures 30","Place du Général de Gaulle","CornflowerBlue",1,
"45.05227","6.0304",,"Point",,"LE BOURG-D’OISANS","38","10 heures","Mairie – Théâtre de verdure","Default",,
"44.906089","4.423319",,"Point",,"LE CHEYLARD","07","14 heures","Mairie","Default",1,
"46.806463","4.429969",,"Point",,"LE CREUSOT","71","14 heures 30","Avenue François Mitterrand Devant l'Alto","DarkTurquoise",1,
"49.497769","0.127437",,"Point",,"LE HAVRE","76","10 heures","Cercle Franklin","DarkTurquoise",1,
"14.615849","-61.002477",,"Point",,"LE LAMENTIN","972","8 heures 30","Place Émile Berlan (Église)","Default",,
"47.97948","0.174",,"Point",,"LE MANS","72","13 heures 30","La Patte d'Oie d'Allonnes – Yoplait","Default",1,
"45.043287","3.888431",,"Point",,"LE PUY-EN-VELAY","43","10 heures 30","Place Cadelade","Default",1,
"50.05791","1.38596",,"Point",,"LE TRÉPORT","76","15 heures","Esplanade Salle Serge Reggiani","DarkTurquoise",,
"43.99263","3.60629",,"Point",,"LE VIGAN","30","18 heures","Hôtel de ville","CornflowerBlue",1,
"46.497462","-1.783175",,"Point",,"LES SABLES-D’OLONNE","85","14 heures 30","Place de la Liberté","Default",1,
"44.91556","-0.247836",,"Point",,"LIBOURNE","33","14 heures","Quai Soucher","DarkTurquoise",,
"50.629653","3.068833",,"Point",,"LILLE","59","14 heures 30","Place Simon Vollant Porte de Paris","Default",1,
"49.521434","0.532719",,"Point",,"LILLEBONNE","76","14 heures 30","Mairie","DarkTurquoise",1,
"45.831737","1.262457",,"Point",,"LIMOGES","87","14 heures","Carrefour Tourny","DarkTurquoise",1,
"49.146138","0.225409",,"Point",,"LISIEUX","14","10 heures","Place François Mitterrand","DarkTurquoise",1,
"47.12943","0.99859",,"Point",,"LOCHES","37","18 heures","Place du Marché aux Fleurs","CornflowerBlue",,
"43.733127","3.319483",,"Point",,"LODÈVE","34","11 heures","Sous-Préfecture","CornflowerBlue",1,
"49.523976","5.763155",,"Point",,"LONGWY","54","14 heures","Place Darche","CornflowerBlue",,
"46.674085","5.552194",,"Point",,"LONS-LE-SAUNIER","39","10 heures 30","Place de la Liberté","DarkTurquoise",,
"47.735564","-3.37423",,"Point",,"LORIENT","56","10 heures","Rond point de la Base Sous-Marine","CornflowerBlue",1,
"47.01022","0.08184",,"Point",,"LOUDUN","86","10 heures","Mairie","DarkTurquoise",,
"46.626243","5.22217",,"Point",,"LOUHANS","71","9 heures 30","Place de la Charité","DarkTurquoise",1,
"43.67526","4.13213",,"Point",,"LUNEL","34","11 heures 30","Place de la République","CornflowerBlue",,
"45.767074","4.859476",,"Point",,"LYON","69","13 heures","Manufacture des Tabacs","Default",1,
"46.303515","4.830025",,"Point",,"MÂCON","71","14 heures 30","Maison des Syndicats","DarkTurquoise",1,
"-12.776951","45.232424",,"Point",,"MAMOUDZOU","976","8 heures","Place de la République","Default",,
"43.829477","5.787271",,"Point",,"MANOSQUE","04","14 heures","Gare routière","DarkTurquoise",,
"44.497726","0.168496",,"Point",,"MARMANDE","47","14 heures","Esplanade de Maré","DarkTurquoise",1,
"43.293677","5.374197",,"Point",,"MARSEILLE","13","10 heures 30","Vieux Port -Cours Jean Ballard","DarkTurquoise",1,
"43.417455","5.036566",,"Point",,"MARTIGUES","13","10 heures ","Lycée Jean Lurçat","DarkTurquoise",1,
"4.888713","-52.332462",,"Point",,"MATOURY","973","9 heures","Family Plaza","Default",,
"50.279639","3.967465",,"Point",,"MAUBEUGE","59","9 heures 30","Place de l’Hôtel de Ville","Default",,
"48.29199","-0.61056",,"Point",,"MAYENNE","63","11 heures","Rond-point de Lactalis","Default",,
"48.95571","2.88743",,"Point",,"MEAUX","77","9 heures 30","Place de l’Hôtel de Ville","MediumBlue",1,
"48.53936","2.66233",,"Point",,"MELUN","77","9 heures 30","Place Saint-Jean","MediumBlue",,
"44.51733","3.49738",,"Point",,"MENDE","48","10 heures 30","Place Urbain V","CornflowerBlue",1,
"49.114849","6.171264",,"Point",,"METZ","57","14 heures","Devant l’Arsenal","CornflowerBlue",1,
"44.102341","3.074917",,"Point",,"MILLAU","12","10 heures 30","Gare SNCF","CornflowerBlue",,
"46.674324","4.362608",,"Point",,"MONCEAU-LES-MINES","71","14 heures 30","Place de la Mairie","DarkTurquoise",1,
"43.886016","-0.503204",,"Point",,"MONT-DE-MARSAN","40","10 heures","Arènes","DarkTurquoise",1,
"48.00105","2.731433",,"Point",,"MONTARGIS","45","10 heures 30","Place du Pâtis","CornflowerBlue",1,
"44.018113","1.357155",,"Point",,"MONTAUBAN","82","14 heures 30","Esplanade des Fontaines","CornflowerBlue",1,
"47.621232","4.336075",,"Point",,"MONTBARD","21","15 heures","Place Gambetta","DarkTurquoise",1,
"47.500431","6.811395",,"Point",,"MONTBÉLIARD","25","14 heures 30","Champ de Foire","DarkTurquoise",1,
"44.556619","4.747726",,"Point",,"MONTÉLIMAR","26","14 heures","Théâtre","Default",1,
"46.346909","2.598229",,"Point",,"MONTLUÇON","03","14 heures 30","Place Jean Dormoy","Default",1,
"48.871433","3.556459",,"Point",,"MONTMIRAIL","51","15 heures","Route de Châlons Axon’ Cable","CornflowerBlue",1,
