"latitude","longitude","altitude","geometry","coordinates","name","dept","hour","description","_umap_options","code","nom"
"47.091484","5.497799",,"Point",,"DOLE","39","10 heures 30","Avenue de Lahr","DarkTurquoise",1,
"46.674085","5.552194",,"Point",,"LONS-LE-SAUNIER","39","15 heures","Place de la Liberté","DarkTurquoise",1,
"46.38634","5.86541",,"Point",,"SAINT-CLAUDE","39","10 heures","Place de l’Abbaye","DarkTurquoise",1,
"43.886016","-0.503204",,"Point",,"MONT-DE-MARSAN","40","10 heures","Arènes","DarkTurquoise",1,
"47.590239","1.334289",,"Point",,"BLOIS","41","14 heures 30","Préfecture","CornflowerBlue",1,
"47.36842","1.711271",,"Point",,"ROMORANTIN-LANTHENAY","41","10 heures","Rond-point Route de Blois","CornflowerBlue",1,
"47.793442","1.070298",,"Point",,"VENDÔME","41","10 heures 30","Place Liberté","CornflowerBlue",1,
"46.039302","4.063284",,"Point",,"ROANNE","42","10 heures","Centre universitaire<br>Avenue de Paris","Default",1,
"45.426803","4.404434",,"Point",,"SAINT-ÉTIENNE","42","10 heures 30","CCI – Cours Fauriel","Default",1,
"45.043287","3.888431",,"Point",,"LE PUY-EN-VELAY","43","10 heures 30","Place Cadelade","Default",1,
"47.373296","-1.178799",,"Point",,"ANCENIS","44","10 heures","Rassemblement station Esso","Default",1,
"47.721225","-1.376123",,"Point",,"CHÂTEAUBRIANT","44","10 heures","Place de la Mairie","Default",1,
"47.08619","-1.28616",,"Point",,"CLISSON","44","15 heures","Parvis de la gare","Default",1,
"47.21505","-1.549029",,"Point",,"NANTES","44","10 heures 30","Miroir d'eau","Default",1,
"47.279622","-2.203059",,"Point",,"SAINT-NAZAIRE","44","10 heures","Place de l'Amérique Latine","Default",1,
"47.358464","-1.950433",,"Point",,"SAVENAY","44","17 heures","Place de la Gare","Default",1,
"47.781227","1.616943",,"Point",,"BEAUGENCY","45","10 heures 30","Parking des Chaussées","CornflowerBlue",1,
"47.684513","2.629911",,"Point",,"GIEN","45","10 heures","Place Jean Jaurès","CornflowerBlue",1,
"48.00105","2.731433",,"Point",,"MONTARGIS","45","10 heures 30","Place du Pâtis","CornflowerBlue",1,
"47.90147","1.909829",,"Point",,"ORLÉANS","45","10 heures","Cathédrale","CornflowerBlue",1,
"48.171729","2.25455",,"Point",,"PITHIVIERS","45","10 heures 30","Rond-point Marie Curie","CornflowerBlue",1,
"44.927117","1.845352",,"Point",,"BIARS-SUR-CÈRE","46","10 heures","Place de la Mairie","CornflowerBlue",1,
"44.445726","1.441092",,"Point",,"CAHORS","46","14 heures","Place François Mitterrand","CornflowerBlue",1,
"44.609328","2.028126",,"Point",,"FIGEAC","46","14 heures 30","Lycée Jean-François Champollion","CornflowerBlue",1,
"44.198274","0.615631",,"Point",,"AGEN","47","10 heures","Parc de la Préfecture","DarkTurquoise",1,
"44.497726","0.168496",,"Point",,"MARMANDE","47","14 heures","Esplanade de Maré","DarkTurquoise",1,
"44.40925","0.70562",,"Point",,"VILLENEUVE-SUR-LOT","47","15 heures 30","Théâtre Georges Leygues","DarkTurquoise",1,
"44.51733","3.49738",,"Point",,"MENDE","48","17 heures","Place Urbain V","CornflowerBlue",1,
"47.471452","-0.545315",,"Point",,"ANGERS","49","14 heures","Place du Maréchal Leclerc","Default",1,
"47.061727","-0.880019",,"Point",,"CHOLET","49","10 heures","Place Travot","Default",1,
"47.26092","-0.077199",,"Point",,"SAUMUR","49","10 heures","Place de la Bilange","Default",1,
"47.685712","-0.86807",,"Point",,"SEGRÉ-EN-ANJOU","49","10 heures","Place du Port","Default",1,
"48.68675","-1.361739",,"Point",,"AVRANCHES","50","15 heures 30","Mairie","DarkTurquoise",1,
"49.643509","-1.625113",,"Point",,"CHERBOURG-EN-COTENTIN","50","14 heures","Place Napoléon","DarkTurquoise",1,
"49.049022","-1.44403",,"Point",,"COUTANCES","50","10 heures 30","Place Saint-Nicolas","DarkTurquoise",1,
"48.837704","-1.597213",,"Point",,"GRANVILLE","50","10 heures 30","Hôtel de Ville","DarkTurquoise",1,
"49.11555","-1.09092",,"Point",,"SAINT-LÔ","50","10 heures 30","Place du Général de Gaulle (Mairie)","DarkTurquoise",1,
"48.96261","4.366572",,"Point",,"CHÂLONS-EN-CHAMPAGNE","51","10 heures","Maison des syndicats","CornflowerBlue",1,
"49.044054","3.951111",,"Point",,"ÉPERNAY","51","10 heures 30","Place Carnot","CornflowerBlue",1,
"48.871433","3.556459",,"Point",,"MONTMIRAIL","51","15 heures","Route de Châlons Axon’ Cable","CornflowerBlue",1,
"49.254543","4.040523",,"Point",,"REIMS","51","10 heures","Maison des syndicats","CornflowerBlue",1,
"48.72226","3.72097",,"Point",,"SÉZANNE","51","14 heures 30","Place du Champ Benoist","CornflowerBlue",1,
"48.718354","4.586835",,"Point",,"VITRY-LE-FRANÇOIS","51","10 heures 30","Place de la Gare","CornflowerBlue",1,
"48.111146","5.139646",,"Point",,"CHAUMONT","52","17 heures","Place de l'Hôtel de Ville","CornflowerBlue",1,
"47.858476","5.331652",,"Point",,"LANGRES","52","14 heures","Place Bel Air","CornflowerBlue",1,
"48.637127","4.94741",,"Point",,"SAINT-DIZIER","52","17 heures","Place Aristide Briand","CornflowerBlue",1,
"48.073778","-0.772079",,"Point",,"LAVAL","53","11 heures","Square de Boston","Default",1,
"49.523976","5.763155",,"Point",,"LONGWY","54","14 heures","Place Darche","CornflowerBlue",,
"48.693779","6.177428",,"Point",,"NANCY","54","14 heures","Place Carnot","CornflowerBlue",1,
"48.673723","5.890329",,"Point",,"TOUL","54","10 heures","Place des Trois Évéchés","CornflowerBlue",1,
"48.76636","5.17655",,"Point",,"BAR-LE-DUC","55","13 heures 30","Parking Lidl Bradfer","CornflowerBlue",1,
"47.346732","-3.153291",,"Point",,"BELLE-ÎLE-EN-MER","56","11 heures","Quai Bonnelle","CornflowerBlue",1,
"47.639133","-3.453438",,"Point",,"ÎLE DE GROIX","56","11 heures","Place du 19 Mars 1962","CornflowerBlue",1,
"47.760799","-3.364928",,"Point",,"LORIENT","56","10 heures","Pont Saint-Christophe","CornflowerBlue",1,
"47.929481","-2.396184",,"Point",,"PLOËRMEL","56","11 heures","Place de l'Hôtel de Ville","CornflowerBlue",1,
"48.065289","-2.966781",,"Point",,"PONTIVY","56","10 heures","La Plaine","CornflowerBlue",1,
"47.660127","-2.790077",,"Point",,"VANNES","56","10 heures 30","Giratoire de Kerlann","CornflowerBlue",1,
"49.110168","6.176945",,"Point",,"METZ","57","14 heures","Place de la Gare","CornflowerBlue",1,
"46.992235","3.14607",,"Point",,"NEVERS","58","11 heures","Rue du 13e de Ligne (Gamm Vert)","DarkTurquoise",1,
"50.176486","3.228768",,"Point",,"CAMBRAI","59","10 heures 30","Sous-préfecture","Default",1,
"50.367618","3.082969",,"Point",,"DOUAI","59","10 heures","Place d’Armes","Default",1,
"51.030687","2.36971",,"Point",,"DUNKERQUE","59","14 heures 30 ","Place de la Gare","Default",1,
"50.01555","4.04043",,"Point",,"FOURMIES","59","10 heures","Place Georges Coppeaux","Default",1,
"50.629653","3.068833",,"Point",,"LILLE","59","14 heures 30","Place Simon Vollant<br>Porte de Paris","Default",1,
"50.273104","3.967068",,"Point",,"MAUBEUGE","59","10 heures","Pôle Gare","Default",1,
"50.35787","3.523556",,"Point",,"VALENCIENNES","59","10 heures","Place d’Armes","Default",1,
"49.43738","2.073573",,"Point",,"BEAUVAIS","60","14 heures","Préfecture","Default",1,
"49.377089","2.416582",,"Point",,"CLERMONT","60","10 heures","CHI","Default",1,
"49.420982","2.82649",,"Point",,"COMPIÈGNE","60","14 heures 30","Cours Guynemer","Default",1,
"49.300907","2.602228",,"Point",,"PONT-SAINTE-MAXENCE","60","9 heures","La Manekine","Default",1,
"48.436017","0.090267",,"Point",,"ALENÇON","61","10 heures 30","Boulevard de Strasbourg<br>Conseil Départemental","DarkTurquoise",1,
"48.743678","-0.015916",,"Point",,"ARGENTAN","61","11 heures","Hôtel de Ville","DarkTurquoise",1,
"48.750254","-0.566418",,"Point",,"FLERS","61","17 heures","Place du Général de Gaulle","DarkTurquoise",1,
"48.764616","0.62488",,"Point",,"L'AIGLE","61","17 heures 30","Place de la Poste","DarkTurquoise",1,
"48.520452","0.545846",,"Point",,"MORTAGNE-AU-PERCHE","61","17 heures 30","Place de la Mairie","DarkTurquoise",1,
"50.287403","2.780968",,"Point",,"ARRAS","62","9 heures 30","Place de la Gare","Default",1,
"50.521606","2.640431",,"Point",,"BÉTHUNE","62","9 heures","Gare SNCF","Default",1,
"50.959508","1.849909",,"Point",,"CALAIS","62","9 heures 30","Place d’Armes","Default",1,
"45.785748","3.100441",,"Point",,"CLERMONT-FERRAND","63","10 heures","Place du 1er Mai","Default",1,
"45.54429","3.246452",,"Point",,"ISSOIRE","63","17 heures","Parvis de la Halle aux grains","Default",1,
"43.49697","-1.474716",,"Point",,"BAYONNE","64","10 heures 30","Place Sainte-Ursule","DarkTurquoise",1,
"43.29862","-0.375166",,"Point",,"PAU","64","10 heures 30","Place de Verdun","DarkTurquoise",1,
"43.233534","0.086753",,"Point",,"TARBES","65","10 heures","Bourse du Travail","CornflowerBlue",1,
"42.698426","2.887983",,"Point",,"PERPIGNAN","66","10 heures 30","Place de Catalogne","CornflowerBlue",1,
"42.616056","2.421383",,"Point",,"PRADES","66","10 heures 30","Sous-préfecture","CornflowerBlue",1,
"48.586205","7.75746",,"Point",,"STRASBOURG","67","14 heures","Avenue de la Liberté","CornflowerBlue",1,
"48.073414","7.358713",,"Point",,"COLMAR","68","14 heures","Rue de Turenne","CornflowerBlue",1,
"47.743681","7.342614",,"Point",,"MULHOUSE","68","14 heures","Place du Général de Gaulle<br>Sous-préfecture","CornflowerBlue",1,
"45.767074","4.859476",,"Point",,"LYON","69","11 heures","Manufacture des Tabacs","Default",1,
"47.621018","6.160081",,"Point",,"VESOUL","70","14 heures","Place Pierre Renet","DarkTurquoise",1,
"46.954803","4.29338",,"Point",,"AUTUN","71","14 heures 30","Parking de la gare","DarkTurquoise",1,
"46.786799","4.858652",,"Point",,"CHALON-SUR-SAÔNE","71","14 heures 30","Maison des Syndicats","DarkTurquoise",1,
"46.431794","4.65536",,"Point",,"CLUNY","71","10 heures","Lycée La Prat’s","DarkTurquoise",1,
"46.806463","4.429969",,"Point",,"LE CREUSOT","71","14 heures 30","Avenue François Mitterrand Devant l'Alto","DarkTurquoise",1,
